age,annual_income,employment_status,credit_score,loan_amount,debt_to_income_ratio,late_payments_12m,credit_utilization,savings_rate,avg_monthly_transactions,default
58,41409.34,Self-Employed,850,12844.29,0.367,1,0.536,0.091,45,0
56,74159.18,Employed,640,5696.29,0.219,1,0.884,0.089,24,0
38,53829.18,Self-Employed,716,14357.76,0.322,0,0.82,0.15,46,0
24,25399.19,Employed,567,28261.91,0.074,1,0.359,0.053,29,0
69,24159.11,Retired,690,6131.24,0.0,1,0.0,0.162,16,0
43,85929.28,Employed,658,8178.35,0.204,0,0.28,0.13,14,0
65,89142.55,Employed,731,10413.19,0.27,0,0.432,0.115,67,0
54,57610.18,Employed,733,18460.83,0.086,1,0.463,0.056,19,0
59,103554.5,Employed,786,61463.55,0.275,1,0.598,-0.031,49,0
58,83141.97,Retired,780,9085.28,0.27,0,0.56,0.066,45,0
30,68996.73,Employed,675,15595.37,0.341,2,0.563,0.162,49,0
39,31080.76,Employed,609,14816.06,0.442,0,0.261,-0.04,20,0
44,116507.9,Unemployed,618,12323.37,0.607,0,0.285,-0.024,29,1
45,64096.86,Employed,703,14348.18,0.414,0,0.162,0.078,20,0
23,40420.03,Employed,692,11171.91,0.202,1,0.457,0.034,50,0
48,35096.79,Self-Employed,699,76556.67,0.45,0,0.59,0.358,57,1
28,55736.58,Employed,640,23151.27,0.56,1,0.635,0.12,34,0
58,21257.61,Unemployed,788,11229.66,0.182,0,0.0,0.069,67,0
55,69552.46,Self-Employed,570,30035.92,0.19,1,0.504,0.192,39,0
67,30430.92,Employed,636,17223.25,0.137,1,0.171,0.095,32,0
58,59000.67,Employed,599,15287.16,0.265,0,0.53,0.094,36,0
39,37766.96,Unemployed,664,13237.26,0.406,1,0.169,0.247,42,0
69,42949.94,Employed,773,12707.91,0.572,1,0.562,-0.066,13,0
41,33575.27,Self-Employed,658,7101.19,0.484,0,0.258,0.023,39,0
37,45224.09,Employed,688,5408.91,0.408,0,0.262,0.143,33,0
66,126082.25,Employed,730,18443.07,0.357,0,0.577,0.024,31,0
39,97981.09,Self-Employed,655,13157.55,0.409,0,0.279,0.023,33,0
24,58526.77,Employed,709,24995.7,0.418,1,0.611,0.167,50,0
44,48404.73,Employed,699,8656.44,0.545,0,0.563,0.046,35,0
60,74764.66,Employed,595,7640.62,0.347,0,0.376,0.13,18,0
30,86248.26,Self-Employed,645,23522.38,0.389,0,0.3,0.08,36,0
44,32373.35,Employed,707,12367.12,0.289,1,0.681,0.129,31,0
27,47159.02,Employed,776,24672.39,0.367,2,0.583,0.093,35,0
55,19712.75,Employed,776,15064.21,0.312,0,0.761,0.167,34,0
44,85952.58,Retired,837,45547.62,0.172,1,0.017,0.177,40,0
37,137655.87,Employed,716,23235.69,0.481,2,0.336,0.045,14,0
32,51023.49,Employed,649,18879.82,0.573,0,0.3,-0.029,15,0
49,16941.05,Employed,675,23859.93,0.344,0,0.513,0.089,34,0
54,66465.96,Employed,671,12534.76,0.4,1,0.191,0.054,31,0
68,31193.2,Employed,649,5509.62,0.479,0,0.222,0.043,21,0
42,35183.25,Unemployed,709,18334.81,0.329,1,0.409,-0.039,4,1
29,67056.32,Self-Employed,712,47332.55,0.378,2,0.0,0.067,39,0
62,55674.48,Employed,592,3735.86,0.317,0,0.0,0.103,28,0
52,38405.1,Employed,762,19564.79,0.268,0,0.375,0.053,40,0
56,35425.85,Employed,542,5877.5,0.428,1,0.984,0.096,39,0
25,52204.19,Employed,663,14559.77,0.427,2,0.425,0.152,46,0
36,39945.34,Employed,766,15485.75,0.488,0,0.317,0.213,19,0
59,28152.22,Employed,726,23112.12,0.349,1,0.495,0.223,35,0
62,41511.19,Retired,653,16749.07,0.17,0,0.527,0.048,66,0
42,58092.76,Employed,828,33661.54,0.516,0,0.372,0.04,39,0
61,44844.14,Employed,647,29727.87,0.24,0,0.251,-0.011,57,0
63,24179.14,Retired,530,13121.34,0.237,0,0.055,0.165,45,0
40,80380.94,Employed,714,28470.84,0.27,0,0.598,0.115,22,0
65,12463.93,Employed,547,12238.37,0.088,1,0.296,0.214,71,0
35,39215.11,Employed,618,11037.85,0.317,1,0.504,0.114,56,0
32,35950.59,Retired,727,7167.91,0.443,2,0.632,0.055,16,0
55,52790.65,Employed,645,32441.0,0.285,0,0.332,0.096,33,0
52,64914.8,Employed,724,12332.4,0.551,1,0.078,0.083,62,0
27,86110.14,Employed,593,3453.34,0.541,0,0.35,0.042,45,0
62,34330.78,Employed,744,20439.81,0.483,0,0.366,0.107,7,0
30,65728.71,Employed,553,11379.74,0.06,1,0.509,0.03,25,0
61,54063.21,Employed,779,12342.84,0.565,2,0.274,0.211,23,0
21,20831.68,Retired,644,12830.62,0.314,1,0.263,-0.038,57,1
60,126787.8,Self-Employed,795,12065.05,0.602,0,0.315,0.196,43,0
60,23875.6,Employed,617,75861.21,0.259,1,0.482,0.06,30,1
60,60460.69,Employed,824,40039.57,0.329,1,0.598,-0.1,23,0
54,59574.33,Employed,608,22460.27,0.363,0,0.913,-0.044,45,0
44,56264.46,Employed,545,17065.17,0.21,1,0.824,0.095,33,0
56,38281.1,Self-Employed,683,29064.03,0.107,0,0.371,0.066,38,0
34,74133.76,Employed,773,17089.1,0.0,2,0.242,0.133,44,0
60,22467.3,Unemployed,739,24089.22,0.793,1,0.263,0.066,38,1
48,47433.58,Employed,767,20638.9,0.1,0,0.111,0.146,15,0
43,36977.42,Self-Employed,741,15946.7,0.102,0,0.427,0.101,48,0
46,34938.72,Retired,618,25956.76,0.436,1,0.182,0.152,51,0
49,60740.98,Self-Employed,737,11474.65,0.136,1,0.156,0.169,67,0
22,84014.05,Retired,687,15291.8,0.109,0,0.171,0.141,26,0
27,41289.86,Unemployed,627,8203.68,0.0,0,0.595,0.076,54,0
33,72427.44,Employed,693,8792.17,0.394,0,0.382,0.214,54,0
26,50255.25,Employed,676,3237.35,0.189,1,0.1,0.095,51,0
42,31370.83,Employed,786,19417.71,0.447,2,0.594,0.042,37,0
54,43089.04,Unemployed,641,22900.45,0.339,2,0.662,0.066,21,0
53,42203.44,Employed,638,28317.97,0.363,0,0.299,0.131,31,0
44,34602.11,Retired,628,7620.09,0.282,0,0.228,0.18,18,0
63,60732.94,Employed,822,19224.59,0.309,3,0.208,0.153,12,0
49,55123.04,Self-Employed,632,14758.49,0.216,1,0.458,0.154,46,0
24,22129.68,Employed,777,22983.89,0.23,2,0.601,0.07,22,1
59,21466.25,Retired,603,9988.08,0.186,1,0.437,0.187,5,0
49,60617.7,Employed,718,12066.92,0.577,2,0.104,0.101,37,0
52,32609.43,Employed,700,5813.28,0.291,1,0.634,0.056,47,0
49,57012.2,Unemployed,773,9603.16,0.01,0,0.388,-0.053,44,0
48,72436.51,Employed,762,14792.25,0.389,0,0.356,0.148,20,0
25,25965.49,Employed,686,16390.8,0.229,2,0.495,0.053,26,0
48,24202.99,Retired,640,5369.39,0.343,0,0.63,0.013,41,0
60,113234.46,Unemployed,802,10863.13,0.31,0,0.149,-0.002,49,0
36,58441.73,Employed,632,16255.54,0.574,0,0.105,0.172,42,0
51,39750.58,Employed,510,34366.11,0.292,0,0.389,0.114,48,1
22,30731.08,Employed,541,8892.76,0.472,1,0.392,0.141,33,0
38,37978.66,Employed,559,19811.91,0.457,0,0.599,0.083,41,0
42,27030.3,Employed,725,10541.35,0.145,0,0.679,0.103,38,0
70,76244.92,Employed,846,11299.73,0.378,1,0.289,0.097,19,0
31,33243.83,Employed,527,8720.72,0.236,1,0.472,0.007,9,0
34,84691.23,Employed,621,7890.35,0.169,1,0.501,0.165,22,0
41,40122.22,Unemployed,687,11104.71,0.169,0,0.522,0.031,24,0
70,29095.1,Employed,796,27689.45,0.473,0,0.043,0.057,55,0
63,39610.49,Employed,621,9386.41,0.746,0,0.515,0.13,33,0
22,13199.27,Retired,724,8548.9,0.229,3,0.217,0.183,22,0
32,46148.31,Unemployed,661,16738.67,0.382,1,0.526,0.05,32,0
62,45023.52,Employed,850,14811.04,0.397,0,0.146,0.161,38,0
23,74040.79,Retired,691,14172.43,0.271,0,0.413,0.126,28,0
63,19088.62,Employed,707,17195.32,0.561,0,0.332,0.082,26,0
35,87634.78,Employed,686,8056.65,0.68,0,0.869,0.093,29,0
66,73887.55,Employed,649,8609.82,0.26,3,0.203,0.092,38,0
35,91676.54,Employed,751,26682.16,0.61,0,0.186,0.118,32,0
42,47745.46,Self-Employed,593,13526.98,0.268,0,0.722,0.192,28,0
54,81385.18,Employed,530,21117.66,0.204,1,0.586,0.123,23,0
27,23491.13,Retired,669,30773.98,0.329,0,0.452,0.078,40,1
48,70019.13,Employed,741,24524.94,0.48,1,0.286,0.064,29,0
46,33336.85,Employed,636,6490.71,0.334,1,0.138,0.111,43,0
60,21467.58,Employed,694,13767.98,0.461,2,0.296,0.062,59,0
70,27943.22,Employed,588,27570.42,0.384,0,0.272,-0.042,18,0
54,49156.56,Retired,760,20204.23,0.553,0,0.236,0.192,31,0
41,32462.81,Self-Employed,729,16487.61,0.43,1,0.278,0.09,11,0
41,59162.12,Self-Employed,681,5520.76,0.58,1,0.267,0.086,31,0
41,19848.45,Self-Employed,693,10199.45,0.221,2,0.602,0.208,63,0
61,16923.38,Employed,575,15391.89,0.319,2,0.084,0.059,44,0
37,97362.24,Employed,579,6275.83,0.35,0,0.477,0.134,25,0
29,77026.14,Employed,671,23770.04,0.222,1,0.45,0.1,42,0
37,29008.72,Unemployed,719,13758.84,0.199,1,0.376,0.128,18,1
22,48947.33,Employed,722,4501.69,0.407,0,0.538,0.052,18,0
26,81613.79,Employed,653,10509.48,0.45,2,0.485,0.172,45,0
25,60451.72,Self-Employed,736,12434.18,0.367,1,0.413,0.242,30,0
59,52791.82,Employed,787,13657.93,0.509,1,0.634,0.025,32,0
57,84759.83,Employed,673,34605.67,0.185,2,0.0,0.161,34,0
55,34017.96,Employed,703,20891.05,0.291,0,0.873,0.11,31,0
44,49790.99,Employed,664,6507.6,0.173,0,0.649,0.129,55,0
56,48585.27,Employed,671,6040.82,0.371,2,0.771,0.137,13,0
29,42771.15,Retired,693,12580.59,0.423,2,0.2,-0.0,23,0
66,40339.94,Self-Employed,808,15926.28,0.551,0,0.408,0.037,38,0
46,50839.77,Employed,749,26780.54,0.173,0,0.462,0.081,17,0
67,49871.44,Self-Employed,742,41686.64,0.406,1,0.312,0.198,24,1
28,29021.32,Self-Employed,646,43067.91,0.565,0,0.433,0.076,48,0
45,73196.14,Self-Employed,613,11322.98,0.2,1,0.452,0.137,22,0
55,30085.76,Retired,709,25867.19,0.165,2,0.13,0.104,47,0
45,43953.31,Unemployed,773,19060.57,0.129,2,0.557,0.105,15,0
43,42292.28,Employed,809,7673.5,0.444,1,0.539,0.112,66,0
29,58632.93,Employed,496,4756.48,0.241,4,0.245,0.035,45,0
40,16991.15,Employed,850,16098.23,0.422,0,0.109,0.088,46,0
32,76531.29,Employed,711,6020.34,0.318,0,0.423,0.067,29,0
36,34944.1,Retired,748,8858.43,0.62,1,0.214,0.095,35,0
55,90217.77,Employed,550,9789.84,0.468,1,0.459,0.046,75,0
52,38596.53,Employed,662,16835.6,0.229,1,0.225,0.245,19,0
51,47838.13,Retired,742,31836.63,0.305,1,0.729,-0.037,27,0
39,127630.29,Self-Employed,592,14878.11,0.468,1,0.249,-0.034,30,0
68,42673.39,Employed,463,10685.79,0.19,0,0.203,0.134,38,0
25,91073.75,Retired,705,4268.08,0.527,0,0.405,0.166,45,0
38,49987.21,Employed,676,19438.76,0.312,1,0.048,0.229,42,0
26,60337.52,Employed,788,15019.98,0.471,0,0.21,0.079,19,0
37,50765.86,Employed,668,10616.75,0.321,0,0.036,0.1,47,0
69,74901.25,Retired,673,29722.36,0.271,1,0.447,0.14,46,0
39,34795.18,Employed,732,7226.55,0.247,0,0.604,0.212,36,0
66,29970.71,Employed,758,9789.55,0.61,0,0.305,-0.005,26,0
45,35621.76,Self-Employed,627,12746.13,0.306,1,0.676,0.115,39,1
55,51526.69,Retired,751,10537.44,0.812,2,0.213,0.151,31,0
43,43896.53,Employed,641,20546.64,0.373,1,0.297,0.073,34,1
34,69922.13,Employed,681,19503.48,0.222,1,0.597,0.135,35,0
59,94123.77,Retired,730,27738.65,0.112,1,0.558,0.051,22,0
69,30093.99,Self-Employed,743,19958.14,0.535,1,0.5,0.198,36,0
34,33962.95,Employed,704,13777.28,0.321,1,0.644,-0.041,51,0
59,23905.89,Employed,599,12041.44,0.473,0,0.389,0.079,45,0
34,135291.43,Employed,540,19402.68,0.698,0,0.467,0.145,32,0
56,57087.17,Self-Employed,666,13171.57,0.45,1,0.25,0.077,31,0
60,62311.49,Employed,753,15189.15,0.401,1,0.824,0.168,61,0
43,25081.75,Self-Employed,714,20046.5,0.534,0,0.301,0.106,22,0
57,48992.13,Employed,698,16044.69,0.471,0,0.353,0.124,45,0
34,63235.68,Unemployed,679,17768.05,0.161,1,0.446,0.145,53,0
24,43201.1,Employed,703,9186.1,0.55,0,0.547,0.096,19,0
25,83939.6,Retired,605,33184.01,0.343,0,0.545,-0.032,33,0
43,155735.69,Employed,739,7600.7,0.581,1,0.0,0.24,52,0
66,30530.11,Employed,743,19216.39,0.426,0,0.789,0.209,24,0
27,29406.07,Employed,653,11031.34,0.529,1,0.754,0.158,37,0
43,31606.62,Employed,713,28265.79,0.316,0,0.676,0.071,14,0
56,109436.48,Employed,551,25090.5,0.122,2,0.432,0.136,29,0
31,82551.5,Self-Employed,694,14746.63,0.435,1,0.674,-0.038,56,0
57,45809.01,Retired,670,37527.61,0.497,2,0.458,-0.025,16,1
36,49925.13,Employed,774,13194.57,0.266,0,0.455,0.293,11,0
61,32588.94,Employed,665,25059.67,0.32,0,0.554,0.001,34,0
49,76497.52,Employed,745,9549.67,0.018,1,0.52,0.076,43,0
48,40540.19,Unemployed,651,18825.81,0.327,1,0.625,0.112,28,0
29,43043.29,Employed,509,8438.2,0.162,1,0.0,0.128,30,0
44,66462.61,Employed,663,14938.29,0.428,0,0.38,0.1,46,0
63,44622.9,Employed,695,14316.28,0.4,2,0.131,0.07,53,0
21,43587.12,Employed,691,25012.61,0.352,1,0.605,0.092,43,1
58,49280.69,Employed,692,9872.91,0.548,3,0.199,0.191,49,0
45,72960.81,Employed,642,93340.58,0.386,0,0.338,0.151,35,0
56,111663.65,Employed,656,6442.99,0.379,1,0.606,0.155,26,0
54,65692.7,Unemployed,596,16979.63,0.398,0,0.688,-0.055,13,1
42,73251.73,Employed,530,17547.63,0.263,1,0.594,0.142,14,0
36,44359.09,Employed,672,20391.15,0.499,0,0.566,0.11,33,0
52,34409.95,Employed,624,10837.47,0.213,2,0.139,0.049,54,1
28,67981.65,Retired,761,17069.74,0.413,0,0.176,0.247,21,0
50,53402.9,Self-Employed,516,10523.13,0.533,0,0.105,-0.017,81,0
25,24069.14,Employed,702,45428.01,0.196,0,0.168,0.097,32,0
53,41604.57,Retired,839,10086.32,0.149,1,0.435,0.195,20,0
52,47030.49,Employed,666,13510.03,0.193,1,0.621,0.112,27,1
25,37978.33,Employed,680,9916.94,0.623,1,0.62,-0.057,34,0
58,102833.64,Self-Employed,712,9134.75,0.259,0,0.0,0.215,56,0
41,62312.64,Self-Employed,718,6369.96,0.17,0,0.392,-0.036,37,0
60,97400.58,Employed,649,22097.95,0.405,0,0.34,0.004,16,0
23,55921.97,Employed,604,9860.67,0.0,0,0.0,0.177,61,0
29,51056.79,Employed,729,9151.84,0.207,0,0.583,0.023,26,0
45,30690.27,Employed,537,8284.14,0.562,1,0.576,0.08,23,1
30,49314.07,Retired,742,17723.21,0.207,0,0.266,0.022,42,0
37,49341.8,Employed,651,14958.05,0.311,0,0.332,0.106,50,0
54,24746.59,Retired,680,14999.24,0.394,0,0.432,0.196,49,0
28,37430.32,Employed,641,9350.49,0.394,1,0.491,-0.026,9,1
54,41704.27,Self-Employed,787,19170.73,0.27,1,0.257,0.119,59,0
26,60279.04,Retired,699,9922.8,0.432,0,0.211,-0.038,19,0
29,61739.24,Self-Employed,656,15399.78,0.567,1,0.161,0.268,45,0
50,36656.31,Employed,654,13577.37,0.191,0,0.728,0.026,42,0
60,61971.8,Employed,669,5361.02,0.277,1,0.668,0.145,44,0
29,44755.09,Employed,850,49874.76,0.334,1,0.16,0.123,32,0
35,12000.0,Employed,581,20845.07,0.455,1,0.203,0.111,52,1
67,38470.58,Retired,761,16450.71,0.355,0,0.167,0.065,35,0
70,84077.5,Employed,723,18084.7,0.331,1,0.073,-0.01,56,0
50,21143.7,Employed,795,50584.38,0.118,1,0.829,0.218,18,1
43,51862.21,Employed,727,29205.72,0.18,2,0.238,0.025,62,0
38,108296.77,Employed,680,18201.48,0.379,1,0.567,0.091,9,0
51,33513.16,Employed,757,9652.91,0.273,1,0.326,0.072,61,0
50,49073.5,Employed,697,10611.31,0.299,2,0.352,0.179,28,0
35,25539.76,Self-Employed,737,5004.27,0.341,1,0.336,0.282,41,0
22,110593.39,Employed,787,11837.53,0.701,3,0.481,0.045,28,0
28,47020.25,Self-Employed,687,21962.75,0.275,1,0.359,0.111,21,0
68,50177.07,Employed,648,21594.14,0.558,2,0.564,0.186,29,0
41,96485.71,Employed,632,21368.81,0.547,0,0.654,0.206,47,1
45,68236.79,Self-Employed,714,10837.65,0.471,1,0.264,0.088,41,0
44,31640.26,Self-Employed,614,20550.2,0.223,2,0.445,0.091,54,0
60,35467.11,Employed,654,24209.74,0.371,0,0.041,0.203,44,0
24,62784.63,Self-Employed,607,3880.92,0.291,1,0.285,-0.048,41,0
25,35880.15,Employed,718,17723.62,0.652,1,0.404,0.173,61,0
34,17006.97,Employed,624,51463.62,0.412,0,0.356,0.036,43,1
45,47733.06,Retired,583,12395.9,0.318,0,0.376,0.112,21,0
54,23386.02,Retired,597,3251.62,0.618,0,0.514,0.105,17,0
45,109989.58,Employed,637,9067.07,0.297,2,0.56,0.051,63,0
43,53551.22,Retired,644,4970.5,0.433,0,0.0,0.125,34,0
67,31176.27,Self-Employed,699,10090.85,0.455,1,0.44,0.071,36,0
29,34568.0,Employed,668,7083.76,0.402,0,0.331,0.181,27,0
49,19059.12,Employed,708,25809.9,0.334,1,0.294,0.039,12,0
48,28290.15,Employed,714,23555.36,0.476,1,0.707,0.016,65,0
44,81483.97,Employed,736,18138.51,0.256,0,0.014,0.109,17,0
61,149625.84,Retired,537,30814.44,0.517,0,0.388,0.094,21,0
34,70488.03,Employed,595,10517.25,0.308,0,0.717,0.221,31,0
68,46815.93,Employed,722,15430.95,0.551,0,0.416,0.098,28,0
37,39498.59,Employed,696,55085.79,0.507,1,0.191,0.1,27,0
48,30386.45,Employed,753,20976.72,0.432,1,0.352,0.003,46,0
47,137294.42,Unemployed,564,20945.47,0.336,0,0.79,0.115,52,0
63,44606.09,Employed,644,9315.86,0.515,1,0.658,0.009,35,1
42,141183.38,Employed,658,11499.46,0.436,0,0.286,0.085,40,0
35,98396.43,Employed,692,8088.72,0.0,0,0.738,0.027,22,0
22,20529.16,Self-Employed,683,40479.36,0.227,1,0.54,0.141,44,1
39,35137.49,Self-Employed,715,5796.87,0.375,1,0.0,0.091,31,0
62,35083.19,Self-Employed,671,25552.32,0.392,2,0.377,0.192,30,0
21,47102.29,Employed,783,20924.43,0.456,0,0.802,0.02,50,1
65,47564.54,Employed,807,5641.93,0.582,1,0.366,0.103,14,0
48,219283.25,Self-Employed,596,29302.98,0.438,0,0.735,0.11,51,1
28,28606.41,Self-Employed,683,12642.01,0.037,0,0.084,0.088,35,0
36,54966.82,Employed,740,6683.97,0.38,0,0.112,0.186,28,0
48,66719.59,Unemployed,724,18373.95,0.532,1,0.649,0.094,62,0
36,48982.29,Employed,649,9013.78,0.367,1,0.587,0.016,48,0
26,51797.14,Employed,699,13056.46,0.381,2,0.394,0.131,10,0
54,29073.88,Retired,561,10900.35,0.276,1,0.591,0.242,50,0
54,51701.55,Employed,679,8712.62,0.492,0,0.27,0.044,45,0
26,63303.73,Retired,570,7236.97,0.297,0,0.152,0.093,16,0
35,57745.48,Employed,718,23815.71,0.439,0,0.485,0.115,35,0
33,65192.55,Retired,596,17942.47,0.414,0,0.337,0.174,48,0
53,99340.04,Employed,692,17264.32,0.358,0,0.492,0.159,8,0
57,78314.13,Unemployed,704,11866.37,0.423,0,0.445,0.109,47,0
57,50799.78,Self-Employed,686,15226.28,0.38,3,0.326,0.066,30,0
67,27285.78,Employed,633,9493.55,0.542,4,0.815,0.061,33,0
59,36315.41,Employed,664,9395.81,0.452,1,0.172,0.138,53,0
37,43922.61,Employed,769,41197.94,0.506,1,0.434,0.042,24,0
26,55613.04,Employed,648,25102.57,0.235,0,0.379,-0.011,19,0
51,38593.29,Retired,682,10542.06,0.226,2,0.468,0.081,46,0
66,30703.55,Employed,638,6016.75,0.359,0,0.41,0.058,37,0
69,27062.4,Self-Employed,757,5320.64,0.462,0,0.638,0.069,29,0
32,21469.98,Employed,686,10091.96,0.43,0,0.469,0.142,15,0
32,43587.45,Employed,623,15750.42,0.237,1,0.257,0.107,29,0
22,23509.67,Retired,681,15851.52,0.467,0,0.174,0.081,27,0
28,29724.8,Employed,662,16138.96,0.256,0,0.231,0.005,32,1
48,40257.4,Employed,784,18043.36,0.451,0,0.221,0.067,11,0
48,25135.62,Employed,677,7918.71,0.393,0,0.549,-0.03,25,0
39,59271.04,Employed,576,36484.8,0.316,2,0.382,0.038,41,0
36,70977.03,Employed,717,13115.74,0.27,0,0.487,0.035,34,0
62,37245.5,Self-Employed,814,17622.04,0.37,1,0.097,0.101,32,0
44,39398.63,Employed,770,9959.46,0.362,1,0.331,0.104,21,0
61,64133.04,Unemployed,597,17798.93,0.193,0,0.506,0.08,21,0
69,34303.49,Self-Employed,660,51337.85,0.44,0,0.629,0.009,31,0
36,33144.53,Employed,678,8155.1,0.524,0,0.073,-0.038,35,0
31,89165.48,Employed,679,7560.13,0.479,0,0.745,0.208,22,0
68,76274.49,Employed,709,8789.2,0.397,1,0.717,0.032,38,0
52,66222.46,Self-Employed,654,12089.68,0.283,1,0.624,0.077,38,0
35,77872.05,Employed,611,10798.47,0.369,0,0.678,0.061,20,0
52,18239.79,Employed,751,7907.79,0.33,0,0.317,0.169,53,0
46,96463.29,Employed,596,14331.32,0.369,0,0.225,0.123,23,0
66,59636.98,Employed,620,37672.46,0.49,0,0.419,0.043,22,0
33,81258.5,Self-Employed,595,13495.46,0.334,0,0.466,0.141,26,0
70,59491.03,Employed,726,13934.69,0.074,1,0.262,-0.008,15,0
67,50234.76,Employed,688,18138.02,0.47,0,0.53,0.092,9,0
30,42716.71,Employed,746,21776.77,0.41,1,0.71,-0.1,51,0
29,58898.58,Self-Employed,621,33655.67,0.372,2,0.597,0.125,49,0
47,41945.48,Self-Employed,586,17052.04,0.174,0,0.41,0.066,22,0
23,75654.94,Employed,647,14741.27,0.225,2,0.0,0.082,45,0
35,22176.13,Employed,666,8144.36,0.243,1,0.062,0.197,25,0
42,37392.0,Self-Employed,696,23016.73,0.262,1,0.379,0.04,20,0
69,136272.47,Employed,554,8895.41,0.276,0,0.541,0.043,31,0
70,35845.01,Employed,716,8731.57,0.173,2,0.087,-0.019,31,0
28,43506.17,Employed,613,16578.81,0.673,0,0.421,0.104,50,0
65,31530.47,Employed,631,37231.67,0.575,0,0.556,0.095,2,1
25,57984.03,Employed,768,22830.99,0.392,2,0.386,0.158,31,0
58,33923.65,Employed,516,14436.0,0.345,2,0.263,0.097,69,0
63,44676.13,Employed,704,8193.09,0.624,0,0.074,0.127,2,0
65,74939.27,Employed,704,36800.55,0.594,0,0.57,0.142,27,0
32,34565.74,Employed,619,14271.96,0.239,0,0.256,0.129,30,0
65,72715.19,Employed,646,12405.27,0.387,0,0.762,0.089,37,0
26,73947.8,Employed,772,20601.11,0.323,1,0.439,0.143,46,0
46,83073.25,Employed,827,11284.32,0.31,1,0.481,0.152,37,0
44,52589.43,Self-Employed,760,9397.49,0.325,1,0.583,0.18,59,0
36,247862.53,Retired,821,9954.14,0.337,1,0.32,0.282,29,0
22,83055.71,Employed,628,9938.21,0.382,0,0.503,0.02,51,0
59,57666.91,Employed,561,7506.91,0.382,0,0.258,0.141,33,0
37,31635.58,Employed,676,7020.9,0.566,1,0.224,0.099,47,0
54,46698.65,Retired,740,26455.46,0.229,1,0.199,0.116,25,0
41,100023.81,Employed,541,22055.22,0.495,2,0.292,0.161,22,0
39,115239.44,Employed,611,9012.08,0.189,0,0.853,0.118,15,1
65,102658.64,Self-Employed,619,25160.77,0.386,0,0.201,0.015,31,0
25,72590.99,Employed,707,17775.7,0.507,1,0.535,0.058,24,0
57,26164.79,Employed,697,12157.77,0.435,2,0.35,0.146,40,0
